Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1106.4755
FDW14,OUT017,1380.6588
NCN55,OUT010,1220.0356
FDQ58,OUT017,2580.207
FDY38,OUT027,5484.189
FDH56,OUT046,1704.6123
FDL48,OUT018,641.553
FDC48,OUT027,1417.2734
FDN33,OUT045,1457.1697
FDA36,OUT017,2300.36
FDT44,OUT017,1738.2689
FDQ56,OUT045,1040.5667
NCC54,OUT019,1340.0742
FDU11,OUT049,1981.3961
DRL59,OUT013,1081.0177
FDM24,OUT049,2425.135
FDI57,OUT045,3483.9734
DRC12,OUT018,3038.508
NCM42,OUT027,2506.8806
FDA46,OUT010,701.8086
FDA31,OUT013,2299.738
NCJ31,OUT035,2863.8496
FDG52,OUT046,1059.0237
NCL19,OUT019,801.5442
FDS10,OUT035,2773.5806
FDX22,OUT010,1336.9924
NCF19,OUT035,597.015
NCE06,OUT046,2497.8235
DRC27,OUT046,2913.0715
FDE21,OUT035,2538.6606
NCR42,OUT019,-310.5271
FDX51,OUT018,2530.322
NCR06,OUT018,575.6432
FDU31,OUT027,4828.242
FDU59,OUT017,2200.0657
FDR03,OUT027,5384.3984
FDS49,OUT027,1908.5074
FDD48,OUT010,443.8014
NCF18,OUT017,2931.9253
NCD43,OUT027,2289.2788
NCD54,OUT018,2049.7913
FDY19,OUT010,274.19025
NCY54,OUT017,2355.7505
NCL19,OUT018,1905.8158
FDP23,OUT010,960.94476
FDC26,OUT013,1592.2969
FDR14,OUT010,-267.80322
NCS41,OUT035,3283.254
FDF41,OUT035,3957.4966
FDU34,OUT046,1499.3456
DRH11,OUT046,777.92175
FDM03,OUT013,1975.2979
FDS31,OUT017,3041.0645
FDJ20,OUT017,1584.4072
FDV44,OUT027,4439.9443
FDG02,OUT049,2619.704
FDA09,OUT013,3349.7166
FDT04,OUT013,596.04083
FDL58,OUT019,578.12134
FDE52,OUT045,1323.3766
FDW12,OUT035,2511.5852
FDL51,OUT017,2951.3777
NCY42,OUT027,2989.2324
FDR07,OUT017,1228.4113
FDN40,OUT045,2288.198
FDB35,OUT027,1709.0253
FDA22,OUT017,2871.2578
NCL06,OUT046,5974.35
FDI35,OUT013,3083.6907
NCW42,OUT045,3851.9038
NCX06,OUT049,2820.754
FDC37,OUT027,2354.9468
FDZ14,OUT018,1827.9276
DRG49,OUT049,7268.584
NCG06,OUT045,3544.6392
DRC36,OUT045,2976.4329
FDV21,OUT019,633.41
FDB53,OUT046,2467.5466
DRP47,OUT019,223.02638
FDA14,OUT013,2226.3647
DRC24,OUT035,2153.0164
FDW21,OUT018,1281.9625
NCH29,OUT046,2015.9464
FDU58,OUT013,3054.0933
FDY27,OUT017,3123.6587
FDV56,OUT035,1532.9688
FDT59,OUT046,3613.1162
FDB23,OUT046,3262.0059
FDR49,OUT045,754.63403
FDB03,OUT010,684.306
FDN39,OUT045,2903.6338
FDX02,OUT027,5279.9375
FDQ16,OUT027,2433.18
FDU35,OUT018,1518.106
NCT29,OUT013,1776.9767
FDZ27,OUT046,710.66327
FDN57,OUT017,1611.6216
FDA03,OUT018,1907.8488
FDZ36,OUT045,3468.273
NCU05,OUT013,856.3132
FDT39,OUT018,2035.4674
FDK60,OUT017,1482.173
FDZ25,OUT017,3014.005
FDG12,OUT046,2044.0591
DRB01,OUT019,672.4094
NCC43,OUT027,5341.4116
FDX13,OUT019,1784.0405
FDM22,OUT049,1169.4104
FDJ03,OUT027,1292.3976
FDU14,OUT018,4687.9663
FDB33,OUT010,659.9831
FDP27,OUT046,3247.293
FDO38,OUT010,-139.88997
FDE28,OUT027,5241.5947
FDO27,OUT035,1931.0964
DRL23,OUT027,1318.243
FDS28,OUT046,759.3641
FDX24,OUT013,1339.7423
FDZ02,OUT035,1349.1008
FDL46,OUT045,1282.4829
FDS60,OUT027,3924.0605
NCO06,OUT017,491.8397
FDO16,OUT035,1864.8048
FDC60,OUT049,1452.803
FDA48,OUT018,3025.8218
FDZ36,OUT027,5062.328
FDK27,OUT045,1713.3357
FDW23,OUT018,684.2971
FDM14,OUT018,1377.165
FDM14,OUT013,1609.996
FDW60,OUT018,2482.26
FDE21,OUT013,2188.482
NCM42,OUT035,1570.615
FDY59,OUT010,-14.971033
DRI49,OUT049,1571.6062
FDT28,OUT019,570.5297
FDQ22,OUT018,448.39664
FDR60,OUT049,1380.8623
FDC50,OUT019,591.9187
FDV24,OUT013,2095.4414
DRF48,OUT010,669.19714
FDQ47,OUT046,880.2118
DRN36,OUT049,1657.4299
NCY06,OUT035,2162.1643
FDE52,OUT035,1380.1162
NCB54,OUT045,1807.2032
NCF31,OUT035,2317.456
FDJ08,OUT027,4494.0684
NCC07,OUT017,1749.9727
NCD19,OUT027,1094.0433
FDL46,OUT049,1740.691
FDM20,OUT045,3178.5881
NCI06,OUT010,875.39996
DRM11,OUT035,3682.1462
NCH07,OUT018,2490.1934
FDS23,OUT013,2171.0393
FDO49,OUT018,285.95074
FDS35,OUT049,1145.959
DRK39,OUT045,1092.6794
DRI39,OUT049,932.50635
FDV04,OUT017,2115.5466
NCN14,OUT035,3269.6462
FDH08,OUT013,5439.184
FDS20,OUT046,3238.9673
FDV40,OUT049,1334.4637
FDZ48,OUT010,218.1457
